count,gap_ms,ev,confirm_ms,attempts
3,5000,0.3ev,282,3
3,5000,0.5ev,193,2
3,4000,0.7ev,204,2
3,4000,1.0ev,199,2
3,3000,2.0ev,846,3
3,3000,3.0ev,896,3
3,2500,0.3ev,1250,4
3,2500,0.5ev,1294,5
3,2000,0.7ev,1784,6
3,2000,1.0ev,1795,6
3,1750,2.0ev,1967,6
3,1750,3.0ev,1986,6
3,1500,0.3ev,2222,7
3,1500,0.5ev,2211,7
3,1250,0.7ev,2522,7
3,1250,1.0ev,2450,7
3,1000,2.0ev,2749,8
3,1000,3.0ev,2727,8
3,750,0.3ev,2978,8
3,750,0.5ev,3047,8
3,500,0.7ev,3211,9
3,500,1.0ev,3210,9
3,250,2.0ev,3447,9
3,250,3.0ev,3433,9
5,5000,0.3ev,194,2
5,5000,0.5ev,215,2
5,4000,0.7ev,213,2
5,4000,1.0ev,223,2
5,3000,2.0ev,1026,4
5,3000,3.0ev,766,3
5,2500,0.3ev,1032,5
5,2500,0.5ev,1349,5
5,2000,0.7ev,2121,6
5,2000,1.0ev,1976,6
5,1750,2.0ev,2347,7
5,1750,3.0ev,2033,6
5,1500,0.3ev,2037,6
5,1500,0.5ev,2414,7
5,1250,0.7ev,2888,8
5,1250,1.0ev,2824,8
5,1000,2.0ev,2897,8
5,1000,3.0ev,2785,8
5,750,0.3ev,2738,8
5,750,0.5ev,3246,8
5,500,0.7ev,3612,9
5,500,1.0ev,3604,9
5,250,2.0ev,3807,10
5,250,3.0ev,3509,10
9,5000,0.3ev,196,2
9,5000,0.5ev,212,2
9,4000,0.7ev,1060,4
9,4000,1.0ev,1064,4
9,3000,0.3ev,1938,6
9,3000,0.5ev,2117,6
9,2500,0.7ev,2673,7
9,2500,1.0ev,2624,7
9,2000,0.3ev,2909,8
9,2000,0.5ev,3128,8
9,1750,0.7ev,3435,9
9,1750,1.0ev,3519,10
9,1500,0.3ev,3394,9
9,1500,0.5ev,3636,9
9,1250,0.7ev,3975,10
9,1250,1.0ev,3816,10
9,1000,0.3ev,3958,11
9,1000,0.5ev,4152,11
9,750,0.7ev,4426,11
9,750,1.0ev,4374,11
9,500,0.3ev,4351,11
9,500,0.5ev,4561,12
9,250,0.7ev,4885,12
9,250,1.0ev,4772,12
