cam_model,count,ev,arm_lat_ms
ILCE-7C,3,0.3ev,266
ILCE-7C,5,0.3ev,3156
ILCE-7C,9,0.3ev,3532
ILCE-7C,3,0.5ev,4531
ILCE-7C,5,0.5ev,3031
ILCE-7C,9,0.5ev,3563
ILCE-7C,3,0.7ev,4578
ILCE-7C,5,0.7ev,1610
ILCE-7C,9,0.7ev,3578
ILCE-7C,3,1.0ev,4500
ILCE-7C,5,1.0ev,3015
ILCE-7C,9,1.0ev,3484
ILCE-7C,3,2.0ev,4390
ILCE-7C,5,2.0ev,2984
ILCE-7C,3,3.0ev,3391
ILCE-7C,5,3.0ev,3359
ILCE-7C,3,0.3ev,3063
ILCE-7C,5,0.3ev,3078
ILCE-7C,9,0.3ev,3562
ILCE-7C,3,0.5ev,4594
ILCE-7C,5,0.5ev,3031
ILCE-7C,9,0.5ev,3532
ILCE-7C,3,0.7ev,4625
ILCE-7C,5,0.7ev,3016
ILCE-7C,9,0.7ev,3468
ILCE-7C,3,1.0ev,4750
ILCE-7C,5,1.0ev,3078
ILCE-7C,9,1.0ev,3500
ILCE-7C,3,2.0ev,4437
ILCE-7C,5,2.0ev,3141
ILCE-7C,3,3.0ev,3375
ILCE-7C,5,3.0ev,2984
ILCE-7C,3,0.3ev,3016
ILCE-7C,5,0.3ev,3016
ILCE-7C,9,0.3ev,3547
ILCE-7C,3,0.5ev,4625
ILCE-7C,5,0.5ev,2140
ILCE-7C,9,0.5ev,3531
ILCE-7C,3,0.7ev,4703
ILCE-7C,5,0.7ev,3078
ILCE-7C,9,0.7ev,3406
ILCE-7C,3,1.0ev,4656
ILCE-7C,5,1.0ev,2953
ILCE-7C,9,1.0ev,3500
ILCE-7C,3,2.0ev,4453
ILCE-7C,5,2.0ev,3016
ILCE-7C,3,3.0ev,3359
ILCE-7C,5,3.0ev,2985
ILCE-7C,3,0.3ev,2984
ILCE-7C,5,0.3ev,2968
ILCE-7C,9,0.3ev,3453
ILCE-7C,3,0.5ev,4594
ILCE-7C,5,0.5ev,3000
ILCE-7C,9,0.5ev,3594
ILCE-7C,3,0.7ev,4656
ILCE-7C,5,0.7ev,3000
ILCE-7C,9,0.7ev,3484
ILCE-7C,3,1.0ev,4578
ILCE-7C,5,1.0ev,3109
ILCE-7C,9,1.0ev,3469
ILCE-7C,3,2.0ev,4422
ILCE-7C,5,2.0ev,3188
ILCE-7C,3,3.0ev,3375
ILCE-7C,5,3.0ev,3031
ILCE-7C,3,0.3ev,3015
ILCE-7C,5,0.3ev,3156
ILCE-7C,9,0.3ev,3438
ILCE-7C,3,0.5ev,4704
ILCE-7C,5,0.5ev,3016
ILCE-7C,9,0.5ev,3516
ILCE-7C,3,0.7ev,4735
ILCE-7C,5,0.7ev,3250
ILCE-7C,9,0.7ev,3484
ILCE-7C,3,1.0ev,4672
ILCE-7C,5,1.0ev,3250
ILCE-7C,9,1.0ev,3516
ILCE-7C,3,2.0ev,4437
ILCE-7C,5,2.0ev,2937
ILCE-7C,3,3.0ev,3266
ILCE-7C,5,3.0ev,2985
