cam_model,count,ev,arm_lat_ms
ILCE-7SM3,3,0.3ev,125
ILCE-7M4,3,0.3ev,234
ILCE-7C,3,0.3ev,312
ILCE-7RM4A,3,0.3ev,297
ILCE-7SM3,5,0.3ev,437
ILCE-7M4,5,0.3ev,469
ILCE-7RM4A,5,0.3ev,1719
ILCE-7C,5,0.3ev,1984
ILCE-7SM3,9,0.3ev,375
ILCE-7M4,9,0.3ev,438
ILCE-7C,9,0.3ev,3531
ILCE-7RM4A,9,0.3ev,4234
ILCE-7SM3,3,0.5ev,344
ILCE-7M4,3,0.5ev,391
ILCE-7C,3,0.5ev,4281
ILCE-7RM4A,3,0.5ev,5406
ILCE-7SM3,5,0.5ev,328
ILCE-7M4,5,0.5ev,500
ILCE-7C,5,0.5ev,3031
ILCE-7RM4A,5,0.5ev,3782
ILCE-7SM3,9,0.5ev,344
ILCE-7M4,9,0.5ev,453
ILCE-7C,9,0.5ev,3469
ILCE-7RM4A,9,0.5ev,4203
ILCE-7SM3,3,0.7ev,359
ILCE-7M4,3,0.7ev,484
ILCE-7C,3,0.7ev,4484
ILCE-7RM4A,3,0.7ev,5250
ILCE-7SM3,5,0.7ev,344
ILCE-7M4,5,0.7ev,454
ILCE-7C,5,0.7ev,2953
ILCE-7RM4A,5,0.7ev,3828
ILCE-7SM3,9,0.7ev,266
ILCE-7M4,9,0.7ev,391
ILCE-7C,9,0.7ev,3500
ILCE-7RM4A,9,0.7ev,4109
ILCE-7SM3,3,1.0ev,344
ILCE-7M4,3,1.0ev,516
ILCE-7C,3,1.0ev,4281
ILCE-7RM4A,3,1.0ev,5328
ILCE-7SM3,5,1.0ev,328
ILCE-7M4,5,1.0ev,485
ILCE-7C,5,1.0ev,2985
ILCE-7RM4A,5,1.0ev,3735
ILCE-7SM3,9,1.0ev,344
ILCE-7M4,9,1.0ev,421
ILCE-7C,9,1.0ev,3469
ILCE-7RM4A,9,1.0ev,4094
ILCE-7SM3,3,2.0ev,265
ILCE-7M4,3,2.0ev,469
ILCE-7C,3,2.0ev,4031
ILCE-7RM4A,3,2.0ev,5235
ILCE-7SM3,5,2.0ev,265
ILCE-7M4,5,2.0ev,453
ILCE-7C,5,2.0ev,3016
ILCE-7RM4A,5,2.0ev,3687
ILCE-7SM3,3,3.0ev,406
ILCE-7M4,3,3.0ev,532
ILCE-7C,3,3.0ev,3390
ILCE-7RM4A,3,3.0ev,4031
ILCE-7SM3,5,3.0ev,266
ILCE-7M4,5,3.0ev,469
ILCE-7C,5,3.0ev,2984
ILCE-7RM4A,5,3.0ev,3657
ILCE-7SM3,3,0.3ev,312
ILCE-7M4,3,0.3ev,438
ILCE-7C,3,0.3ev,2765
ILCE-7RM4A,3,0.3ev,3641
ILCE-7SM3,5,0.3ev,328
ILCE-7M4,5,0.3ev,484
ILCE-7C,5,0.3ev,3078
ILCE-7RM4A,5,0.3ev,3813
ILCE-7SM3,9,0.3ev,391
ILCE-7M4,9,0.3ev,500
ILCE-7C,9,0.3ev,3609
ILCE-7RM4A,9,0.3ev,4203
ILCE-7SM3,3,0.5ev,296
ILCE-7M4,3,0.5ev,469
ILCE-7C,3,0.5ev,4297
ILCE-7RM4A,3,0.5ev,5375
ILCE-7SM3,5,0.5ev,344
ILCE-7M4,5,0.5ev,546
ILCE-7C,5,0.5ev,3032
ILCE-7RM4A,5,0.5ev,3704
ILCE-7SM3,9,0.5ev,281
ILCE-7M4,9,0.5ev,453
ILCE-7C,9,0.5ev,3532
ILCE-7RM4A,9,0.5ev,4140
ILCE-7SM3,3,0.7ev,359
ILCE-7M4,3,0.7ev,438
ILCE-7C,3,0.7ev,4219
