rep,ev,count,ss,ok,latency_ms,captures,retried
1,0.3ev,3,1/125,1,477,3,0
1,0.3ev,5,1/125,1,673,5,0
1,0.3ev,9,1/125,1,1096,9,0
1,0.5ev,3,1/125,1,499,3,0
1,0.5ev,5,1/125,1,674,5,0
1,0.5ev,9,1/125,1,1153,9,0
1,0.7ev,3,1/125,1,498,3,0
1,0.7ev,5,1/125,1,693,5,0
1,0.7ev,9,1/125,1,1176,9,0
1,1.0ev,3,1/125,1,467,3,0
1,1.0ev,5,1/125,1,698,5,0
1,1.0ev,9,1/125,1,1301,9,0
1,2.0ev,3,1/125,1,535,3,0
1,2.0ev,5,1/125,1,825,5,0
1,3.0ev,3,1/125,1,524,3,0
1,3.0ev,5,1/125,1,1241,5,0
2,0.3ev,3,1/125,1,484,3,0
2,0.3ev,5,1/125,1,666,5,0
2,0.3ev,9,1/125,1,1122,9,0
2,0.5ev,3,1/125,1,460,3,0
2,0.5ev,5,1/125,1,698,5,0
2,0.5ev,9,1/125,1,1144,9,0
2,0.7ev,3,1/125,1,485,3,0
2,0.7ev,5,1/125,1,709,5,0
2,0.7ev,9,1/125,1,1146,9,0
2,1.0ev,3,1/125,1,493,3,0
2,1.0ev,5,1/125,1,711,5,0
2,1.0ev,9,1/125,1,1328,9,0
2,2.0ev,3,1/125,1,516,3,0
2,2.0ev,5,1/125,1,829,5,0
2,3.0ev,3,1/125,1,524,3,0
2,3.0ev,5,1/125,1,1273,5,0
3,0.3ev,3,1/125,1,478,3,0
3,0.3ev,5,1/125,1,698,5,0
3,0.3ev,9,1/125,1,1136,9,0
3,0.5ev,3,1/125,1,500,3,0
3,0.5ev,5,1/125,1,698,5,0
3,0.5ev,9,1/125,1,1154,9,0
3,0.7ev,3,1/125,1,481,3,0
3,0.7ev,5,1/125,1,694,5,0
3,0.7ev,9,1/125,1,1168,9,0
3,1.0ev,3,1/125,1,486,3,0
3,1.0ev,5,1/125,1,683,5,0
3,1.0ev,9,1/125,1,1303,9,0
3,2.0ev,3,1/125,1,517,3,0
3,2.0ev,5,1/125,1,808,5,0
3,3.0ev,3,1/125,1,533,3,0
3,3.0ev,5,1/125,1,1246,5,0
4,0.3ev,3,1/125,1,463,3,0
4,0.3ev,5,1/125,1,663,5,0
4,0.3ev,9,1/125,1,1137,9,0
4,0.5ev,3,1/125,1,492,3,0
4,0.5ev,5,1/125,1,682,5,0
4,0.5ev,9,1/125,1,1146,9,0
4,0.7ev,3,1/125,1,463,3,0
4,0.7ev,5,1/125,1,695,5,0
4,0.7ev,9,1/125,1,1197,9,0
4,1.0ev,3,1/125,1,498,3,0
