phase,count,N,T,rep,probe_ev,probe_latency_ms
primary,3,1,3,1,0.5ev,4031
primary,3,1,3,2,0.5ev,3969
primary,3,1,3,3,0.5ev,3938
primary,3,1,3,4,0.5ev,3938
primary,3,2,6,1,0.5ev,4140
primary,3,2,6,2,0.5ev,4079
primary,3,2,6,3,0.5ev,4000
primary,3,2,6,4,0.5ev,4093
primary,3,3,9,1,0.5ev,4562
primary,3,3,9,2,0.5ev,4672
primary,3,3,9,3,0.5ev,4750
primary,3,3,9,4,0.5ev,4672
primary,3,4,12,1,0.5ev,5156
primary,3,4,12,2,0.5ev,5094
primary,3,4,12,3,0.5ev,5203
primary,3,4,12,4,0.5ev,5140
primary,3,6,18,1,0.5ev,6203
primary,3,6,18,2,0.5ev,6140
primary,3,6,18,3,0.5ev,6110
primary,3,6,18,4,0.5ev,6016
primary,3,8,24,1,0.5ev,7078
primary,3,8,24,2,0.5ev,7266
primary,3,8,24,3,0.5ev,7031
primary,3,8,24,4,0.5ev,7031
primary,3,11,33,1,0.5ev,8484
primary,3,11,33,2,0.5ev,8359
primary,3,11,33,3,0.5ev,8547
primary,3,11,33,4,0.5ev,8656
primary,3,15,45,1,0.5ev,10500
primary,3,15,45,2,0.5ev,10531
primary,3,15,45,3,0.5ev,10422
primary,3,15,45,4,0.5ev,10422
primary,3,20,60,1,0.5ev,12797
primary,3,20,60,2,0.5ev,12937
primary,3,20,60,3,0.5ev,12703
primary,3,20,60,4,0.5ev,12969
crossval,9,1,9,1,0.5ev,5234
crossval,9,1,9,2,0.5ev,5344
crossval,9,1,9,3,0.5ev,5250
crossval,9,2,18,1,0.5ev,7328
crossval,9,2,18,2,0.5ev,7250
crossval,9,2,18,3,0.5ev,7312
crossval,9,4,36,1,0.5ev,11609
crossval,9,4,36,2,0.5ev,11531
crossval,9,4,36,3,0.5ev,11453
